specobjid,plateid,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,oi_6300_flux_err,sii_6717_flux_err,sii_6731_flux_err
307464715645249536,273,51957,342,0.09687928,156.5564,0.4676566,261.7413,67.02151,235.2785,225.9753,44.10396,117.4903,88.65932,-18.7868,-15.76229,5.492416,4.014738,5.343822,4.270699,3.219924,4.410756,3.771687
307466639790598144,273,51957,349,0.03392197,156.7213,0.1420663,1713.062,459.0862,217.2586,541.8112,35.53174,299.0884,220.2577,-56.52553,-18.14926,14.76714,6.823049,5.260849,6.378742,3.095799,5.382197,4.767527
307469938325481472,273,51957,361,0.02852034,157.3754,1.060027,1994.137,510.9267,551.6336,420.1538,41.84446,343.0061,252.1735,-61.7447,-13.19484,18.68434,7.626848,8.757375,5.824034,3.429394,6.129281,5.352444
307476260517341184,273,51957,384,0.09568932,157.4538,0.4845593,550.3754,123.6318,43.13993,188.0868,25.2818,110.2824,77.71123,-41.5663,-14.55436,6.789011,3.925828,3.506697,3.736542,2.708387,3.799108,3.395877
307481208319666176,273,51957,402,0.05075456,157.5783,1.247247,581.5748,142.1641,85.98173,155.7061,13.45682,116.8682,88.30135,-43.34737,-11.5243,6.44948,3.704652,3.511475,3.214764,2.141989,3.100797,2.828802
307482307831293952,273,51957,406,0.1308496,157.6667,1.020589,445.6085,82.30443,37.11977,166.7344,14.5401,80.35565,52.93819,-35.16345,-12.94574,5.718256,3.450644,3.423156,3.770701,2.279764,4.124236,4.9115
307484231976642560,273,51957,413,0.02889339,157.6012,0.6371129,1404.987,398.5452,229.5169,381.7099,33.99814,281.4323,196.3701,-59.96804,-16.12036,13.13572,6.201885,5.221725,4.878181,2.727355,5.774871,4.294199
307485606366177280,273,51957,418,0.1182065,157.5099,0.8739809,560.6749,123.4587,55.63391,184.5627,14.72792,95.34555,74.11189,-51.19408,-16.64979,6.484407,3.481679,3.248025,3.55835,2.152902,2.88227,3.083646
307486156121991168,273,51957,420,0.08881485,157.597,0.9689866,140.4845,26.35147,41.9033,179.4907,16.62136,57.401,46.08082,-11.832,-13.69745,3.706556,3.242303,3.650167,3.892576,2.958784,3.905749,3.611088
307488355145246720,273,51957,428,0.02840719,157.7452,0.4988487,716.8665,225.2477,1052.379,38.78164,10.76939,75.74384,52.12815,-124.0203,-7.200819,7.146289,4.315289,10.27427,1.635181,1.576054,2.200116,2.115569
307489729534781440,273,51957,433,0.1174899,157.766,0.4765556,215.2147,59.19313,33.68228,58.01759,10.33517,53.64889,38.06878,-34.41284,-9.037341,4.035735,2.913079,3.054434,2.684057,1.910019,2.448189,2.591324
307490554168502272,273,51957,436,0.1096851,157.5458,0.01049055,890.5579,170.7632,54.1951,372.3336,27.32274,149.5631,117.8755,-64.89932,-26.96345,9.045177,4.165943,3.492877,5.007252,2.468997,3.619662,3.493047
307492203435943936,273,51957,442,0.1036107,158.0066,1.044708,951.7054,259.3556,1185.37,72.62118,19.92665,63.49559,51.00137,-217.5287,-16.56925,9.15661,4.520474,11.74389,2.1729,1.80732,2.198704,2.166389
307494402459199488,273,51957,450,0.1274085,158.0558,1.228387,590.4929,123.8487,249.1987,345.9718,27.22977,106.2446,95.62553,-41.57747,-24.12851,7.149364,4.032982,5.421666,4.950101,2.684156,3.951407,3.722817
307496601482455040,273,51957,458,0.09899052,157.7587,0.767382,626.941,192.3689,292.0198,95.71758,22.7709,117.2992,76.66457,-69.3515,-10.92319,6.461584,4.221194,5.418525,2.72439,2.355116,3.079008,2.804285
307497151238268928,273,51957,460,0.09694935,157.9538,1.122952,411.4713,106.1006,1030.808,400.0649,49.69345,116.3035,120.0756,-24.65696,-22.72482,6.361813,4.889527,10.73755,5.626359,3.861945,5.079659,4.601745
307497426116175872,273,51957,461,0.0286682,157.8965,0.4753755,745.6865,162.4221,926.4807,894.3911,113.789,272.7917,228.1953,-10.24196,-11.63684,12.28713,7.227993,13.00427,12.39287,7.70408,9.32387,9.164273
307498250749896704,273,51957,464,0.02836903,157.9405,0.3879487,4317.115,1222.833,679.0068,1385.483,62.05159,694.3884,489.7947,-84.31559,-27.10615,34.4782,14.24296,10.9508,12.66169,4.602463,9.784035,8.342189
307501824162686976,273,51957,477,0.02849584,157.8399,0.2311218,268.0157,50.28488,33.3969,146.5637,22.2973,72.21324,53.93335,-13.18059,-7.126264,4.45561,3.085195,3.170327,3.583574,2.808343,3.212599,3.169509
307502373918500864,273,51957,479,0.1427177,157.9121,0.1239567,418.0061,94.91595,39.94358,257.5434,16.58386,76.01453,65.82529,-30.14518,-18.89009,5.345891,3.454411,3.441769,4.391171,2.459655,3.263801,3.184051
307502648796407808,273,51957,480,0.09655832,157.9356,0.2128861,394.9946,109.8357,32.3434,126.8341,12.06885,67.29556,53.21474,-42.20525,-14.07519,4.864109,3.294481,2.618931,2.663348,1.805421,2.600182,2.340777
307507596598732800,273,51957,498,0.07216842,158.2391,0.04007514,755.3029,166.509,47.05968,378.4895,17.32755,109.7598,80.52847,-43.80066,-21.66261,7.746737,4.29808,3.530673,4.936677,2.581957,3.548677,3.256838
307508146354546688,273,51957,500,0.1284542,158.1144,0.5008667,596.5327,173.6604,637.9993,70.48248,14.93491,65.05355,44.41303,-149.7223,-18.72597,6.253723,3.662714,7.192816,2.118023,1.464015,2.185783,2.675624
307512819278964736,273,51957,517,0.0558084,158.455,0.1615206,173.7873,59.92154,92.20143,27.84568,8.247201,46.55462,28.19915,-29.19213,-4.144312,3.219204,2.725867,3.2496,1.907191,1.547952,2.080179,1.741285
307513643912685568,273,51957,520,0.06500728,158.4854,0.07089496,1000.402,200.4733,111.6256,468.2823,23.934,127.3851,125.1582,-88.89307,-40.67681,9.438003,4.500074,4.000984,5.195352,2.314215,3.358254,3.54765
307515293180127232,273,51957,526,0.06574766,158.3881,1.109768,1235.921,166.1362,58.02657,586.6617,44.95927,219.1323,174.847,-73.84545,-34.74734,11.36202,4.846761,4.472376,6.715275,3.410437,4.909649,4.711373
307516667569661952,273,51957,531,0.02824007,158.1389,0.934871,342.1096,107.7103,282.7946,27.33195,11.46808,51.67223,40.94847,-44.68213,-3.921465,4.362213,3.357358,5.02599,1.652303,1.726121,2.13663,2.11189
307528212441753600,273,51957,573,0.07203702,158.4706,0.9280331,639.4188,167.5441,188.1789,137.8594,22.09596,118.7902,88.59984,-78.26899,-17.17019,6.427574,3.768744,4.045066,2.672465,1.775292,2.770621,2.444728
307529861709195264,273,51957,579,0.1312082,158.4691,0.7342686,1503.126,236.3433,1514.475,817.4189,96.78768,127.2552,127.3958,-39.49648,-33.01286,14.80759,6.517701,11.87406,10.56738,4.247325,7.734152,7.296271
307530961220823040,273,51957,583,0.06472252,158.6831,0.1629241,463.023,117.4605,664.335,161.0074,34.45758,98.55892,81.23889,-22.40896,-7.204691,6.237576,4.281636,8.472924,4.167278,3.283863,3.892313,3.812379
307533160244078592,273,51957,591,0.06561427,158.9127,0.05579071,344.0451,95.14761,85.52386,86.41913,9.162173,71.57579,54.21348,-45.67981,-11.50859,4.539506,3.196038,3.364624,2.379724,1.756002,2.359247,2.27648
307533984877799424,273,51957,594,0.01676873,158.9319,0.008562226,198.7814,63.35354,108.9143,15.82684,9.195207,34.84132,21.50495,-21.41422,-1.573778,3.311483,2.957679,3.628565,1.573834,1.725091,2.20997,1.793252
307537008534775808,273,51957,605,0.01894327,159.0087,0.9890391,480.9588,148.8877,272.6382,60.47615,12.82573,78.50812,51.53271,-58.37584,-7.762162,5.263935,3.905058,5.017656,2.270119,1.823089,2.39904,2.348237
307542506092914688,273,51957,625,0.04977495,159.2574,0.4855189,515.6193,177.6415,412.9894,46.12219,22.50924,88.98168,61.70388,-62.05715,-5.698206,5.786963,3.924965,6.065969,2.048404,1.828801,2.5439,2.25587
307545529749891072,273,51957,636,0.08251377,159.3158,0.08052879,794.9053,164.4361,38.76844,429.7924,22.81964,111.1268,99.11031,-21.07772,-11.29136,9.356359,5.409241,4.942518,6.972536,4.275036,5.561967,5.64376
308496881447626752,274,51913,1,0.02604637,160.5767,-0.909202,319.9631,96.33172,205.9589,34.69334,6.749649,58.47874,38.14147,-43.62484,-5.144969,2.617704,2.036238,2.813912,1.029172,1.105725,1.555505,1.207796
308497156325533696,274,51913,2,0.1071537,160.7348,-0.7271633,309.5171,50.2079,16.09355,161.0438,9.320517,39.64242,36.01213,-22.40531,-11.5878,3.103761,1.898936,1.931237,2.772923,1.548579,2.009008,1.762292
308498530715068416,274,51913,7,0.08019475,160.6134,-1.029233,617.5825,144.9356,29.61024,206.8366,11.06343,98.39053,69.41286,-61.10323,-20.42573,4.431897,2.506755,1.916069,2.136957,1.126317,2.068881,1.717081
308498805592975360,274,51913,8,0.02637024,160.7325,-0.9281361,126.1538,34.38422,48.0297,12.97906,5.839521,23.04082,20.58461,-23.03496,-2.445755,1.610811,1.6736,1.820818,0.8757782,1.120005,1.219324,1.096357
308499905104603136,274,51913,12,0.05000296,160.657,-0.6859433,245.6422,64.31324,10.20528,86.52054,6.435966,41.02032,28.28694,-17.86894,-6.009752,2.796606,1.903423,1.693277,1.854305,1.199815,1.52628,1.41918
308500729738323968,274,51913,15,0.09554537,160.8642,-0.7988841,407.0441,99.00855,48.1954,123.4305,14.16745,88.70724,59.78736,-40.62293,-12.25454,3.282136,2.122365,1.971723,1.748727,1.409474,2.230226,1.945311
308501554372044800,274,51913,18,0.03808925,160.734,-1.069535,296.0841,80.7164,29.47917,85.0097,7.595944,72.84577,50.03892,-20.26916,-5.802281,2.885119,2.107693,1.936003,1.965296,1.364108,1.857623,1.617964
308504852906928128,274,51913,30,0.08508939,161.1694,-0.3289701,624.2538,155.681,123.7155,167.3037,20.15198,122.7129,84.395,-61.20543,-16.41203,4.594203,2.495107,2.502311,1.995103,1.628105,2.296105,2.16002
308505402662742016,274,51913,32,0.03935346,161.0758,-0.6458041,568.1542,136.3378,41.87753,194.8277,14.52749,119.3443,78.14993,-38.51689,-13.2348,4.411931,2.489146,2.044499,2.322949,1.455868,2.269078,1.847776
308506502174369792,274,51913,36,0.1503069,161.1884,-0.2527499,188.4616,38.34401,180.9326,299.944,61.06983,109.3578,100.6577,-11.15123,-15.72728,3.553515,2.684391,3.742084,4.034753,4.175689,3.690409,3.298241
308506777052276736,274,51913,37,0.08320576,161.0563,-0.01462928,273.0028,65.29177,36.63747,98.03828,7.724006,50.14512,39.83076,-28.17131,-9.91586,3.068004,1.875084,1.843591,1.844097,1.328739,5.348062,1.76852
308508701197625344,274,51913,44,0.02609262,160.4309,-0.8896919,194.5067,66.57771,143.8489,16.69633,5.195467,36.19153,23.81123,-25.84607,-2.42145,1.980538,1.744901,2.366335,0.8743759,1.023672,1.32858,1.054007
308510900220880896,274,51913,52,0.1353177,160.2797,-1.179385,121.3561,16.88481,191.7362,141.6048,25.38288,34.51279,35.9584,-12.75691,-13.76547,2.722696,2.282977,3.659571,2.82736,1.66207,3.082921,2.678598
308515298267392000,274,51913,68,0.06118289,160.8666,-0.2440996,123.9472,36.6168,36.88341,24.19231,5.809103,31.11393,20.20128,-28.71403,-6.190659,1.625552,1.419809,1.565777,1.030105,0.8366377,1.090159,1.021033
308515573145298944,274,51913,69,0.06012432,160.9977,-0.4690039,732.1877,138.3552,23.21639,417.377,16.00914,80.67002,81.52772,-27.88868,-15.66562,5.68352,2.768002,2.292018,3.955053,1.909784,2.450971,2.682708
308528492406925312,274,51913,116,0.0615075,160.7816,-0.09442124,416.9684,111.9039,142.637,75.62583,14.93195,77.89857,56.18871,-50.32689,-9.294117,3.358904,2.02048,2.376727,1.489388,1.080772,1.54326,1.441979
308528767284832256,274,51913,117,0.1241373,160.5836,0.03904669,244.8617,49.64991,91.16862,111.3282,9.810078,38.0894,28.26208,-23.38461,-9.429034,3.779644,2.155056,2.317655,2.588079,1.440582,1.712901,1.772941
308529042162739200,274,51913,118,0.007884246,160.731,-0.1402824,591.4946,182.6961,245.1151,81.98075,15.17731,105.7872,71.93961,-39.11639,-5.427152,4.521468,2.64962,3.225142,1.649698,1.396181,1.856476,1.669026
308530416552273920,274,51913,123,0.03944447,159.858,-1.245118,116.9205,31.86739,35.95815,24.24014,5.748718,25.68532,19.32542,-27.43512,-5.282905,1.528953,1.370631,1.48509,1.002528,0.9191951,1.189611,0.9547299
308531241185994752,274,51913,126,0.05003859,159.9501,-1.210349,59.87296,14.72583,9.25251,13.49339,4.470019,16.22803,10.27842,-15.11672,-4.046449,1.517271,1.117992,1.132124,1.065882,0.7830328,0.9760979,0.8777064
308531516063901696,274,51913,127,0.09578104,159.874,-1.201364,223.8902,51.50457,34.18497,74.42948,15.67403,51.87165,42.56793,-21.76702,-7.257348,2.598742,2.061279,2.093433,1.826875,1.666914,2.418896,2.047824
308531790941808640,274,51913,128,0.0966225,159.851,-1.214941,382.9431,99.95011,36.31777,116.3285,11.61627,74.13834,52.84783,-32.74029,-10.16318,3.352488,2.121379,1.841073,1.837324,1.309198,2.050754,1.63004
308532615575529472,274,51913,131,0.1073855,159.8389,-0.7885438,209.119,55.09372,44.20469,145.4772,16.09825,49.88129,40.81655,-17.03221,-11.06511,2.690248,1.942539,2.233309,2.741179,1.828086,2.314562,1.947115
308535089476691968,274,51913,140,0.02719358,159.9288,-0.707937,192.8379,39.80713,120.2009,120.8282,12.52577,56.48213,43.75245,-5.907094,-3.743617,3.20663,2.135696,2.917547,2.792772,2.209246,2.625283,2.633028
308535364354598912,274,51913,141,0.1384492,160.4936,-0.501434,220.517,51.76222,455.3108,232.5232,34.61002,85.72,82.80284,-21.95544,-23.44862,3.380995,2.288285,4.25959,2.685593,1.834497,2.672839,2.606395
308537563377854464,274,51913,149,0.07416783,160.4302,-0.3354619,312.0428,61.23188,23.25646,161.2428,14.83044,58.74191,48.9497,-26.17107,-13.59043,3.008264,1.755917,1.660149,2.151145,1.301633,1.632277,1.633999
308544985081341952,274,51913,176,0.09528587,160.2569,-0.3756306,393.1623,112.0035,169.4951,63.77286,14.3035,56.28238,61.21407,-88.747,-13.98009,2.973936,1.729421,2.194806,1.075179,1.041075,1.462506,2.472657
308547733860411392,274,51913,186,0.1141676,159.8475,-0.5342621,312.9413,64.35064,40.33122,163.9726,17.48204,68.51869,50.74679,-21.94409,-11.71364,4.110572,2.111029,5.245941,3.313038,1.723395,2.533339,2.080459
308548008738318336,274,51913,187,0.01855623,159.8516,-0.3892875,6178.538,1923.79,3079.864,894.9173,83.88581,688.6321,486.6647,-246.4296,-35.24478,32.5376,11.63441,17.73065,5.413822,2.140747,5.447849,4.463575
308549108249946112,274,51913,191,0.01881749,159.8938,-0.2530465,1082.738,322.7106,332.5916,243.6412,26.49002,217.0334,150.5024,-48.65482,-10.98189,7.242341,3.630486,4.153116,2.567368,1.617354,2.870858,2.385051
308550207761573888,274,51913,195,0.08177026,160.0843,-0.1629227,162.2598,31.72646,12.61208,74.09859,6.76361,30.41083,22.07814,-11.20275,-5.177505,2.258767,1.544933,1.560634,1.813992,1.313933,1.664362,2.250905
308550482639480832,274,51913,196,0.1131507,160.0975,-0.2298048,66.3,10.4038,11.44257,39.34656,5.654948,17.49353,12.54525,-10.38662,-5.882773,1.732618,1.053208,1.417099,1.651773,1.128585,1.498728,1.198487
308552681662736384,274,51913,204,0.0968226,159.6567,-0.9482728,211.2305,47.54902,12.82352,68.60932,6.744003,36.07758,29.37762,-27.06587,-8.730028,2.188311,1.530575,1.392433,1.438233,1.186042,1.926146,1.309728
